사마, 60, 181
아마, 67, 188
나아, 98, 159
하마, 57, 167
아라, 77, 189
라카, 40, 172
다차, 62, 187
카사, 70, 164
파라, 83, 150
아나, 53, 193
사아, 71, 165
자타, 75, 197
다타, 77, 149
차자, 42, 172
사파, 44, 180
파바, 97, 168
파아, 91, 147
하나, 56, 150
가라, 42, 160
사차, 98, 169
사마, 43, 141
바나, 77, 148
카마, 54, 155
차차, 74, 144
나다, 47, 190
사바, 53, 144
마아, 42, 154
하다, 68, 164
라아, 85, 187
나아, 84, 151
가사, 46, 143
카라, 60, 168
아아, 75, 140
차다, 44, 179
바바, 75, 181
파하, 84, 197
가나, 63, 191
사차, 42, 185
차카, 55, 165
사가, 54, 162
나자, 84, 199
하가, 43, 161
사마, 64, 170
아라, 52, 166
가자, 75, 151
사마, 77, 162
자다, 82, 156
라사, 47, 177
자차, 65, 154
사카, 79, 178
다가, 41, 140
다타, 47, 169
아자, 86, 166
마타, 82, 186
하하, 76, 181
가파, 77, 160
아아, 68, 166
차타, 98, 170
자바, 53, 142
하카, 73, 172
가나, 56, 191
사바, 90, 189
자가, 90, 180
파나, 57, 169
하다, 52, 192
타자, 67, 154
카마, 42, 146
자사, 86, 190
다하, 69, 168
가아, 82, 153
바가, 53, 154
카바, 82, 171
라바, 69, 168
아다, 46, 170
마가, 42, 197
나타, 82, 180
나나, 61, 196
가타, 69, 160
나자, 43, 157
다바, 76, 148
라하, 47, 167
아자, 50, 175
차파, 56, 140
카자, 63, 177
파사, 91, 167
아타, 51, 174
나카, 56, 152
차라, 62, 198
카자, 88, 153
가바, 83, 197
다아, 63, 145
아자, 61, 171
파타, 50, 170
가타, 75, 153
하아, 88, 161
바라, 62, 151
다나, 96, 148
다사, 77, 142
차카, 98, 142
자다, 42, 190
카자, 69, 149
라마, 78, 160
가아, 94, 153
다타, 91, 173
카아, 86, 160
마바, 87, 198
자타, 95, 174
차라, 75, 189
나자, 48, 198
카타, 57, 198
하아, 85, 168
나바, 65, 167
다하, 42, 163
라라, 51, 176
타하, 45, 151
바마, 51, 174
라가, 86, 164
타바, 74, 143
하나, 40, 175
차라, 61, 191
바자, 99, 171
바하, 91, 153
자차, 59, 149
하파, 80, 179
자아, 96, 172
타타, 57, 165
하마, 80, 151
다바, 52, 198
아나, 47, 186
차가, 97, 163
바사, 65, 183
마차, 41, 155
다다, 84, 199
하카, 62, 181
파차, 82, 173
사나, 90, 191
아사, 72, 198
라타, 56, 175
자사, 97, 143
마마, 59, 147
자나, 98, 186
자타, 75, 182
하차, 50, 159
아파, 59, 164
라파, 94, 192
타타, 98, 168
사라, 77, 141
바다, 88, 155
사가, 58, 178
라카, 44, 146
타파, 87, 153
바카, 97, 152
아차, 95, 183
타바, 58, 150
나카, 50, 159
가나, 45, 140
라가, 66, 165
가아, 62, 174
하다, 79, 156
아마, 98, 165
타나, 63, 148
아카, 60, 161
파가, 63, 178
하카, 66, 146
자아, 83, 142
하자, 57, 148
파다, 48, 146
차카, 95, 157
카나, 51, 166
가파, 64, 168
가나, 88, 162
카차, 92, 192
사하, 49, 145
나사, 82, 196
바라, 46, 165
카타, 63, 161
자카, 81, 160
가카, 74, 191
파바, 57, 168
마나, 69, 146
카나, 58, 190
카하, 44, 144
가가, 61, 155
바아, 66, 147
나파, 96, 189
차다, 56, 199
차사, 66, 143
자마, 40, 196
라사, 95, 150
파다, 85, 150
라사, 74, 195
타바, 74, 173
파다, 46, 159
가가, 70, 170
자라, 71, 196
나나, 43, 162
하하, 71, 186
아하, 76, 179
바자, 99, 151
가아, 71, 140
가가, 51, 152
가바, 41, 170
아사, 58, 140
바라, 77, 154
차타, 80, 150
타타, 48, 192
바카, 72, 191
나라, 45, 163
다차, 41, 140
자카, 88, 146
타다, 56, 195
마바, 67, 190
바다, 88, 198
자마, 45, 155
바카, 77, 169
마자, 73, 158
차카, 91, 164
하차, 73, 152
사아, 54, 165
파가, 84, 146
차바, 65, 170
카하, 77, 163
하자, 43, 166
타라, 95, 188
아나, 65, 198
라나, 85, 197
차마, 90, 162
자다, 70, 146
사차, 70, 183
차사, 73, 153
다하, 79, 145
카아, 71, 170
타가, 52, 145
사사, 51, 168
파나, 86, 150
카카, 65, 184
파파, 97, 190
다마, 61, 193
타라, 82, 150
카차, 46, 184
다타, 63, 177
차나, 62, 152
하다, 87, 178
자가, 79, 164
사파, 66, 182
다하, 50, 156
다마, 54, 172
차하, 65, 185
하나, 74, 181
카라, 72, 165
타나, 46, 164
다파, 93, 148
사마, 43, 196
마사, 45, 153
라타, 44, 145
타나, 63, 176
라하, 83, 140
바바, 45, 195
마라, 46, 151
마하, 43, 185
나카, 68, 168
사카, 57, 149
라라, 70, 146
가바, 72, 141
자차, 57, 178
다사, 71, 156
아다, 76, 141
바라, 50, 193
자라, 41, 167
타사, 82, 149
마다, 95, 175
카나, 51, 152
바라, 45, 197
타타, 58, 148
카자, 83, 176
아마, 57, 186
카라, 50, 190
하사, 41, 192
나파, 48, 173
나마, 78, 183
차라, 49, 190
라하, 76, 163
차다, 44, 141
타아, 58, 160
아타, 62, 190
마타, 74, 168
자아, 63, 178
하나, 57, 167
다다, 46, 159
다차, 96, 196
카사, 53, 180
나하, 51, 188
라사, 47, 192
아하, 60, 149
파파, 57, 193
차나, 91, 153
타자, 43, 151
자사, 93, 163
아바, 47, 181
바가, 64, 176
차바, 75, 149
타카, 40, 190
아라, 45, 199
카라, 54, 165
차파, 58, 198
카타, 95, 189
라차, 68, 188
마마, 98, 172
사사, 76, 181
파자, 98, 157
라차, 91, 198
아라, 87, 174
자하, 75, 152
하사, 75, 181
가파, 88, 187
파자, 64, 191
나마, 40, 148
사마, 40, 174
가아, 69, 192
아카, 64, 198
자자, 44, 147
나하, 89, 155
하라, 74, 188
가마, 96, 172
카카, 62, 198
타카, 90, 152
다나, 98, 199
아바, 52, 183
하파, 43, 147
카차, 94, 164
아타, 93, 182
라아, 70, 144
다자, 43, 159
카라, 80, 147
라다, 89, 154
나바, 90, 191
다사, 77, 164
사하, 54, 172
가가, 78, 181
카마, 83, 165
다가, 80, 164
사다, 71, 147
바나, 70, 175
마파, 81, 169
카타, 96, 188
하자, 97, 187
차가, 86, 141
카타, 46, 186
차차, 82, 177
하타, 80, 181
파카, 59, 172
마라, 71, 182
다나, 49, 168
라가, 69, 185
하라, 73, 196
바다, 65, 140
마가, 67, 146
하사, 76, 165
바카, 83, 148
파파, 57, 168
라차, 43, 188
카라, 76, 196
나파, 65, 148
다가, 56, 187
하자, 90, 146
사사, 62, 173
바타, 56, 141
마타, 58, 157
나하, 58, 147
타파, 45, 196
타타, 60, 173
차하, 45, 170
타가, 69, 162
아파, 53, 176
차나, 51, 151
라라, 65, 154
차아, 81, 150
차사, 58, 184
아카, 64, 171
자바, 89, 188
가자, 96, 144
가바, 71, 170
다마, 64, 156
하나, 54, 149
아나, 49, 166
카자, 43, 194
다자, 69, 148
하가, 46, 164
다카, 54, 184
아차, 56, 140
아카, 95, 155
타사, 93, 141
사다, 91, 183
사타, 93, 172
파나, 42, 141
바마, 56, 169
아차, 82, 150
가카, 48, 143
가사, 85, 146
사차, 58, 193
아하, 76, 185
하파, 62, 147
바다, 63, 168
하바, 49, 189
파바, 43, 198
가타, 88, 148
마카, 84, 165
파아, 67, 182
사하, 91, 186
하파, 81, 142
자카, 52, 143
라타, 47, 175
타하, 56, 148
라아, 66, 165
차마, 89, 161
하다, 79, 152
자마, 95, 169
바나, 94, 178
나아, 40, 183
라마, 73, 184
가카, 59, 165
파파, 68, 168
파마, 82, 196
바사, 98, 147
아다, 90, 178
사타, 77, 160
차나, 53, 182
라타, 47, 195
가바, 68, 174
나나, 77, 149
카나, 42, 179
하나, 47, 167
가마, 72, 141
아마, 60, 174
다파, 91, 184
타라, 70, 164
나라, 54, 180
마가, 84, 180
파마, 71, 187
자마, 83, 185
마나, 70, 186
라파, 51, 175
사아, 91, 182
마다, 91, 181
타가, 41, 150
아카, 63, 182
마마, 70, 151
다사, 98, 194
바사, 53, 187
타마, 68, 190
사카, 71, 194
타사, 90, 184
라다, 56, 170
마라, 85, 170
사사, 51, 158
가차, 83, 181
라다, 74, 144
차아, 81, 197
다타, 86, 176
가마, 65, 169
다파, 70, 145
바마, 64, 158
하나, 63, 195
아나, 74, 197
차타, 80, 163
사카, 54, 153
자아, 82, 145
카나, 79, 152
아라, 82, 164
파나, 95, 195
자카, 82, 175
사아, 67, 169
타사, 95, 157
사다, 58, 150
다카, 55, 162
나바, 76, 189
마라, 74, 152
라마, 84, 142
라사, 46, 166
파타, 93, 165
가자, 92, 193
다마, 75, 195
하차, 83, 189
나차, 70, 170
라가, 75, 174
하다, 48, 196
차아, 40, 160
라자, 91, 160
나카, 90, 172
라다, 79, 157
라타, 48, 173
하카, 75, 161
타사, 59, 152
다하, 88, 177
자카, 77, 151
바자, 56, 183
자라, 54, 199
하가, 91, 176
다아, 88, 175
카가, 62, 176
사카, 79, 146
카나, 57, 170
카다, 54, 140
차아, 71, 168
카라, 65, 178
사사, 56, 172
가차, 60, 140
바파, 99, 180
마카, 76, 190
자마, 55, 193
타타, 83, 195
파바, 81, 148
파라, 53, 151
가하, 42, 167
아아, 68, 168
사하, 61, 141
다다, 76, 187
바카, 76, 166
바파, 98, 148
가차, 61, 170
타타, 51, 150
아하, 43, 182
사카, 42, 196
바하, 73, 150
자파, 44, 162
카마, 94, 171
파카, 78, 145
타라, 46, 162
라다, 87, 145
사다, 73, 163
자사, 41, 145
하다, 55, 193
가차, 99, 161
바카, 47, 141
차사, 89, 151
타다, 79, 183
카카, 57, 162
마하, 62, 158
바바, 50, 198
바마, 69, 161
아자, 72, 164
자아, 86, 195
나가, 40, 176
카파, 53, 154
바하, 96, 165
마라, 89, 191
아차, 77, 157
아가, 69, 177
바바, 41, 148
바가, 71, 162
파카, 60, 148
가나, 78, 144
아마, 61, 163
차가, 99, 184
마다, 71, 161
아다, 53, 162
라파, 47, 142
차가, 62, 143
파차, 87, 171
마마, 44, 155
라타, 55, 165
아사, 98, 165
바파, 68, 176
카가, 52, 169
다사, 50, 146
마마, 69, 189
마가, 75, 158
라나, 77, 192
파다, 52, 160
라파, 64, 179
마아, 67, 154
아사, 82, 184
마나, 90, 146
자자, 59, 169
차마, 70, 170
카다, 40, 148
라파, 51, 184
차나, 67, 167
다사, 52, 170
나아, 54, 181
바차, 97, 140
아바, 58, 149
바나, 64, 188
가자, 95, 140
하차, 60, 153
가하, 99, 156
카마, 40, 169
다라, 84, 171
차마, 97, 188
차사, 66, 174
바아, 82, 187
사차, 96, 192
카라, 72, 152
차카, 97, 156
바자, 63, 189
나가, 69, 160
하바, 80, 194
카차, 69, 173
라마, 90, 173
사라, 86, 153
하마, 98, 165
가사, 95, 187
라자, 90, 172
가나, 81, 178
파하, 41, 149
타사, 48, 174
타아, 60, 185
자가, 60, 180
카가, 83, 145
카나, 45, 168
자다, 53, 143
타아, 72, 160
사아, 77, 143
바자, 42, 153
라마, 79, 176
파라, 84, 148
하가, 85, 193
타차, 72, 161
바파, 65, 158
자라, 91, 188
사아, 81, 172
차바, 93, 150
가라, 60, 157
가하, 52, 160
카타, 64, 176
하카, 67, 161
타하, 94, 158
다자, 61, 163
파카, 79, 161
가파, 63, 183
바아, 93, 160
다바, 81, 166
아파, 73, 146
사라, 73, 196
파자, 50, 167
자아, 66, 146
파하, 62, 156
라나, 97, 151
라사, 88, 145
바나, 43, 158
가마, 51, 180
하가, 66, 173
가자, 98, 181
라가, 67, 171
타마, 82, 195
다라, 75, 180
타하, 96, 153
차차, 43, 156
파다, 72, 147
사아, 82, 152
마바, 93, 197
차다, 83, 157
가자, 81, 161
바가, 72, 158
차타, 99, 163
바사, 90, 180
나가, 67, 168
타파, 82, 163
사라, 43, 198
자라, 47, 142
다자, 90, 154
가사, 73, 165
아아, 92, 166
다가, 75, 173
바사, 40, 164
파나, 98, 142
아차, 96, 184
아나, 87, 192
사타, 60, 181
파다, 51, 148
하카, 71, 156
다바, 89, 165
나차, 66, 196
차하, 97, 171
마다, 80, 163
하파, 68, 164
가아, 70, 144
다다, 42, 169
카카, 93, 144
가바, 59, 189
가파, 89, 166
타가, 64, 190
자카, 53, 169
라나, 93, 178
타아, 44, 144
하다, 80, 173
자하, 75, 187
자하, 74, 188
마다, 63, 164
가다, 70, 175
카마, 63, 167
파다, 41, 152
나하, 94, 157
바차, 52, 183
사마, 55, 188
다라, 95, 187
사타, 43, 155
타나, 91, 178
나사, 65, 167
아카, 92, 174
가다, 99, 183
가카, 75, 173
파타, 51, 194
라파, 57, 191
아다, 72, 184
파나, 93, 188
가아, 47, 198
자하, 56, 186
파나, 91, 162
가카, 72, 150
바마, 59, 165
바카, 43, 157
가가, 75, 147
사라, 56, 170
바차, 76, 157
다다, 69, 180
자바, 80, 148
가하, 86, 155
가가, 55, 195
차나, 71, 190
바자, 73, 143
다라, 64, 186
파가, 58, 183
타차, 91, 176
하카, 54, 169
가바, 86, 163
파사, 48, 150
하카, 61, 188
다바, 53, 149
차바, 50, 161
바차, 98, 198
아라, 76, 189
하사, 86, 158
가아, 73, 177
자아, 99, 168
바파, 46, 190
마마, 58, 154
타파, 66, 172
라가, 55, 176
마차, 80, 169
아아, 63, 161
파차, 89, 195
카차, 56, 182
사자, 91, 191
사다, 98, 159
나라, 99, 187
하라, 64, 152
다나, 98, 175
자다, 41, 148
타라, 81, 150
하마, 40, 145
카바, 96, 166
차하, 65, 153
하가, 60, 176
사사, 67, 189
자하, 95, 155
바타, 72, 165
라사, 51, 199
라다, 44, 162
아타, 71, 165
아차, 81, 146
마라, 40, 179
라타, 54, 146
바라, 84, 187
카바, 47, 153
라아, 85, 192
카사, 81, 161
다가, 82, 182
아나, 64, 155
사바, 96, 149
카가, 55, 177
파타, 82, 175
다아, 61, 180
파가, 93, 176
마파, 55, 179
마마, 59, 160
나파, 80, 157
자다, 75, 144
라바, 93, 147
자아, 42, 187
나마, 90, 182
차가, 80, 168
하바, 76, 195
라파, 68, 167
차아, 47, 167
파하, 72, 141
카나, 71, 164
카타, 65, 145
차라, 75, 178
사아, 82, 151
가다, 44, 172
파카, 97, 190
나사, 42, 191
나하, 76, 182
아사, 67, 187
라카, 86, 184
가카, 75, 195
하타, 72, 194
자파, 86, 157
나가, 85, 166
가라, 47, 143
바사, 83, 145
바마, 91, 148
아파, 97, 186
자아, 54, 166
카나, 56, 198
카사, 95, 177
가마, 50, 186
하사, 57, 184
라아, 49, 156
차카, 72, 194
라하, 63, 166
사사, 78, 172
